S,n
0,4
0,5
0,3
0,8
0,4
0,5
0,7
0,6
0,1
0,0
0.1,4
0.1,4
0.1,5
0.1,6
0.1,4
0.1,3
0.1,4
0.1,6
0.1,7
0.1,6
0.2,6
0.2,10
0.2,8
0.2,10
0.2,5
0.2,6
0.2,3
0.2,8
0.2,6
0.2,7
0.30000000000000004,6
0.30000000000000004,9
0.30000000000000004,11
0.30000000000000004,6
0.30000000000000004,6
0.30000000000000004,10
0.30000000000000004,3
0.30000000000000004,9
0.30000000000000004,8
0.30000000000000004,8
0.4,7
0.4,8
0.4,7
0.4,13
0.4,8
0.4,4
0.4,9
0.4,5
0.4,7
0.4,8
0.5,5
0.5,7
0.5,9
0.5,10
0.5,8
0.5,17
0.5,10
0.5,8
0.5,6
0.5,8
0.6000000000000001,8
0.6000000000000001,8
0.6000000000000001,8
0.6000000000000001,12
0.6000000000000001,14
0.6000000000000001,6
0.6000000000000001,13
0.6000000000000001,10
0.6000000000000001,10
0.6000000000000001,12
0.7000000000000001,12
0.7000000000000001,12
0.7000000000000001,6
0.7000000000000001,13
0.7000000000000001,13
0.7000000000000001,14
0.7000000000000001,16
0.7000000000000001,9
0.7000000000000001,8
0.7000000000000001,12
0.8,21
0.8,12
0.8,9
0.8,16
0.8,17
0.8,16
0.8,11
0.8,21
0.8,12
0.8,19
0.9,15
0.9,21
0.9,15
0.9,19
0.9,22
0.9,19
0.9,20
0.9,17
0.9,21
0.9,15
1,23
1,15
1,18
1,15
1,20
1,14
1,19
1,16
1,18
1,16
